feature,importance
all_opponent_dead,0.5864811183074017
all_ally_dead,0.23709335028840636
self_pre_spike_total_health_loss,0.05479824356595042
spike_planted,0.03319837451868726
ally2_pre_spike_deaths,0.02426883741788353
round_info_ally_side_defender,0.02344223769422473
ally1_pre_spike_deaths,0.01818402869285016
round_info_round_length,0.007737994203546464
self_pre_spike_map_covered,0.003619079556952702
self_pre_spike_max_ammo_reserve_loss,0.0021414621094502685
self_longest_inv_state_melee,0.001680049485655453
ally2_pre_spike_elims,0.001340261105628433
self_pre_spike_avg_shield,0.0011978462311038
ally3_pre_spike_max_health_loss,0.0009076748148840772
opponent8_character_breach,0.000819649753192898
ally3_pre_spike_avg_health,0.0007378068393542699
self_pre_spike_avg_credits,0.000700366369509319
spike_time,0.0006067974225428739
self_pre_spike_assists,0.000570047872594907
ally4_pre_spike_deaths,0.00043275176800984934
self_pre_spike_max_ammo_mag_loss,4.202198217055915e-05
